Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-9240	scRNA-seq of Anopheles gambiae hemocytes after blood-feeding, Plasmodium berghei infection, or sugar feeding	RNA-seq of coding RNA from single cells	Aedes aegypti, Anopheles gambiae	24	2020-08-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9240/
E-MTAB-8511	scRNA seq of the hESC line H9 differentiated to retinal pigment epithelium at two different time points	RNA-seq of coding RNA from single cells	Homo sapiens	2	2020-08-26	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8511/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8511/
E-MTAB-9221	RNA-seq of RBC depleted whole blood from COVID-19 patients and controls	RNA-seq of coding RNA from single cells	Homo sapiens	20	2020-08-21	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9221/
E-MTAB-7515	Single-cell RNA sequencing of Monodelphis domestica preimplantation embryos	RNA-seq of coding RNA from single cells	Monodelphis domestica	886	2020-08-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7515/E-MTAB-7515.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7515/
E-MTAB-8809	Exploiting evolutionary steering to induce collateral drug sensitivity in cancer	RNA-seq of coding RNA from single cells	Homo sapiens	3	2020-08-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8809/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8809/
E-MTAB-8263	Regulation of transcriptional states in acute liver failure by microbiome	RNA-seq of coding RNA from single cells	Mus musculus	42	2020-08-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8263/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8263/
E-MTAB-8732	Single cell RNA sequencing of murine gamma delta T cells from wild type and beta2 integrin-deficient (CD18 KO) lungs	RNA-seq of coding RNA from single cells	Mus musculus	3	2020-08-14	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8732/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8732/
E-MTAB-8979	Testis single-cell RNA-sequencing in the cynomolgus macaque reveals conserved transcriptional profiles during mammalian spermatogenesis	RNA-seq of coding RNA from single cells	Macaca fascicularis	44	2020-08-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8979/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8979/
E-MTAB-8884	Single cell RNA sequencing of chronic myelomonocytic leukemia stem cell	RNA-seq of coding RNA from single cells	Homo sapiens	44	2020-08-03	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8884/
E-MTAB-8810	Single cell RNA-Seq of the mouse heart in response to chronic stress	RNA-seq of coding RNA from single cells	Mus musculus	8	2020-08-02	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8810/
E-MTAB-9268	Activation of a neural stem cell transcriptional program in parenchymal astrocytes	RNA-seq of coding RNA from single cells	Mus musculus	476	2020-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9268/E-MTAB-9268.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9268/
E-MTAB-8205	Single-cell RNA sequencing of hPSC-derived endothelial-to-haematopoietic transition	RNA-seq of coding RNA from single cells	Homo sapiens	29	2020-07-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8205/
E-MTAB-5553	Lineage-dependent spatial and functional organisation of the mammalian enteric nervous system	RNA-seq of coding RNA from single cells	Mus musculus	120	2020-07-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5553/
E-MTAB-8107	Single-cell RNA sequencing of ovarian, colorectal and breast cancer	RNA-seq of coding RNA from single cells	Homo sapiens	49	2020-07-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8107/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8107/
E-MTAB-9366	Single-cell RNA-sequencing of cardiac cells isolated from infant mouse at postnatal 3 weeks	RNA-seq of coding RNA from single cells	Mus musculus	1	2020-07-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9366/
E-MTAB-9219	Single-cell transcriptomics analysis of Lipid A stimulated RAW264.7 cell line	RNA-seq of coding RNA from single cells	Mus musculus	288	2020-07-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9219/
E-MTAB-9199	Single nucleus RNA sequencing of human subcutaneous white adipose tissue	RNA-seq of coding RNA from single cells	Homo sapiens	3	2020-07-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9199/E-MTAB-9199.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9199/
E-MTAB-8564	Single nucleus RNA sequencing of human deep neck BAT	RNA-seq of coding RNA from single cells	Homo sapiens	9	2020-07-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8564/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8564/
E-MTAB-8562	Single nucleus RNA sequencing in mouse brown adipose tissue at room temperature, cold condition and thermoneutrality	RNA-seq of coding RNA from single cells	Mus musculus	6	2020-07-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8562/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8562/
E-MTAB-8561	Mouse brown adipocyte single nucleus RNAseq with Smartseq2	RNA-seq of coding RNA from single cells	Mus musculus	384	2020-07-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8561/
E-MTAB-9295	Single cell analyses and machine learning define hematopoietic progenitor and HSC-like cells derived from human PSCs	RNA-seq of coding RNA from single cells	Homo sapiens	14	2020-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9295/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9295/
E-MTAB-9265	scRNA-seq analysis of cell subpopulations of the bronchoalveolar lavage fluid of healthy dogs	RNA-seq of coding RNA from single cells	Canis lupus familiaris	16	2020-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9265/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9265/
E-MTAB-8337	Single cell RNAseq of human cortical organoids investigating the effect of  chronic treatment with GSK3 inhibitor CHIR99021	RNA-seq of coding RNA from single cells	Homo sapiens	34	2020-06-09	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8337/
E-MTAB-9125	scRNA-seq of allo-reactive CD4+ T cells	RNA-seq of coding RNA from single cells	Mus musculus	19	2020-06-06	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9125/
E-MTAB-8706	Splenic single cell RNA-Seq of WT and Hem1 KO mice	RNA-seq of coding RNA from single cells	Mus musculus	10	2020-06-04	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8706/
E-MTAB-8780	PatchSeq experiment on somatostatin-expressing (Sst) neurons from mouse ventral tegmental area (VTA). Full-length single cell sequencing	RNA-seq of coding RNA from single cells	Mus musculus	61	2020-06-02	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8780/E-MTAB-8780.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8780/
E-MTAB-9154	Single Cell Transcriptomics of iPSC derived neurons under genetic and toxic stressors	RNA-seq of coding RNA from single cells	Homo sapiens	6	2020-05-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9154/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9154/
E-MTAB-8509	scRNAseq of Cyp11a1-expressing cells from mouse melanoma model derived tumors	RNA-seq of coding RNA from single cells	Mus musculus	3455	2020-05-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8509/
E-MTAB-9067	Integrative single-cell RNA-Seq and ATAC-Seq analysis of human foetal liver and bone marrow haematopoiesis (scRNA-Seq)	RNA-seq of coding RNA from single cells	Homo sapiens	5867	2020-05-25	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9067/
E-MTAB-9061	Single cell RNAseq of 12-week old AKIMBA versus WT mouse retina	RNA-seq of coding RNA from single cells	Mus musculus	2	2020-05-23	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9061/
E-MTAB-9024	Comparative performance of the BGI and Illumina sequencing technology for single-cell RNA-sequencing	RNA-seq of coding RNA from single cells	Homo sapiens	104	2020-05-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9024/E-MTAB-9024.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9024/
E-MTAB-8904	Single cell sequencing of the germinal center B cell receptor repertoire of NP-KLH immunized Cxcl13-Cre/Cxcl12fl/fl and control mice	RNA-seq of coding RNA from single cells	Mus musculus	16	2020-05-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8904/
E-MTAB-8454	Single-cell gene expression of germinal center B cells from CXCL12-conditionally deficient and ?sufficient mice	RNA-seq of coding RNA from single cells	Mus musculus	16	2020-05-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8454/
E-MTAB-8445	Single-cell gene expression of lymph node B cell-interacting reticular cells	RNA-seq of coding RNA from single cells	Mus musculus	18	2020-05-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8445/
E-MTAB-8271	Unravelling the heterogeneity of haemogenic endothelium in human pluripotent stem cell differentiation cultures	RNA-seq of coding RNA from single cells	Homo sapiens	4	2020-05-02	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8271/
E-MTAB-9005	Single-cell transcriptomic study of human paediatric tonsillar immune cells and sorted memory B cells using 10X Genomics: scRNA-seq	RNA-seq of coding RNA from single cells	Homo sapiens	120	2020-05-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9005/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9005/
E-MTAB-9003	Single-cell transcriptomic study of human paediatric tonsillar immune cells and sorted memory B cells using 10X Genomics: scVDJ-seq	RNA-seq of coding RNA from single cells	Homo sapiens	12	2020-05-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9003/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9003/
E-MTAB-8464	Single cell RNA-sequencing of lineage-negative fraction of stromal cells isolated from inguinal white adipose tissue in mouse	RNA-seq of coding RNA from single cells	Mus musculus	539	2020-04-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8464/
E-MTAB-6508	scRNA-Seq of Phallusia mammillata from 32-cell to 64-cell stage	RNA-seq of coding RNA from single cells	Phallusia mammillata	796	2020-04-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6508/
E-MTAB-6506	scRNA-Seq of Phallusia mammillata from 2-cell to 16-cell stage	RNA-seq of coding RNA from single cells	Phallusia mammillata	288	2020-04-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6506/
E-MTAB-8873	The role of distinct synovial tissue macrophage populations in shaping synovial tissue microenvironment	RNA-seq of coding RNA from single cells	Homo sapiens	33	2020-04-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8873/E-MTAB-8873.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8873/
E-MTAB-8322	Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission	RNA-seq of coding RNA from single cells	Homo sapiens	106	2020-04-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8322/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8322/
E-MTAB-8221	scRNA-seq of human fetal lung primary tissues and cell cultures derived from fetal bud tip progenitors under dual SMAD treatment	RNA-seq of coding RNA from single cells	Homo sapiens	62	2020-04-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8221/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8221/
E-MTAB-8735	Single-cell RNA counting at allele- and isoform-resolution using Smart-seq3	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus, mixed sample	10	2020-04-14	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8735/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8735/
E-MTAB-8911	Somatic Gain-of-Function mTOR mutation in Clonally Expanded T-lymphocytes Associated with Chronic Graft-Versus-Host Disease	RNA-seq of coding RNA from single cells	Homo sapiens	4	2020-04-12	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8911/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8911/
E-MTAB-8414	Single-cell mapping reveals new markers and functions of lymphatic endothelial cells in lymph nodes	RNA-seq of coding RNA from single cells	Mus musculus	1152	2020-04-06	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8414/
E-MTAB-8410	Single cell sequencing of colorectal tumors and adjacent non-malignant colon tissue	RNA-seq of coding RNA from single cells	Homo sapiens	172	2020-04-05	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8410/
E-MTAB-8119	Endothelial cell heterogeneity in pathological angiogenesis characterized by metabolic transcriptome diversity	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus	92	2020-03-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8119/
E-MTAB-8028	Analysis of thymic dendritic cells (DCs) subtypes from Foxn1cre x ROSA26TdTOMATO mice by single cell transcription profiling	RNA-seq of coding RNA from single cells	Mus musculus	2	2020-03-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8028/E-MTAB-8028.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8028/
E-MTAB-8848	snRNA-seq of whole hearts from adult BL6 mice	RNA-seq of coding RNA from single cells	Mus musculus	1	2020-03-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8848/
E-MTAB-8846	Single-cell RNA-seq of tumor-infiltrating lymphocytes in metastatic uveal melanoma	RNA-seq of coding RNA from single cells	Homo sapiens	45	2020-03-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8846/
E-MTAB-8698	Single cell RNA on hemocytes from wandering larvae of Drosophila melanogaster not infested and infested by Leptopilina boulardi	RNA-seq of coding RNA from single cells	Drosophila melanogaster	2	2020-03-12	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8698/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8698/
E-MTAB-7458	An integrated approach to profile lung tumor endothelial cell heterogeneity across species and models and to identify angiogenic candidates	RNA-seq of coding RNA from single cells	Mus musculus	12	2020-03-07	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7458/
E-MTAB-6117	Single-cell RNA-seq of the 16-cell stage Ciona embryo	RNA-seq of coding RNA from single cells	Ciona robusta	72	2020-03-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6117/E-MTAB-6117.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6117/
E-MTAB-7895	Myocardial infarction time series single cell RNA-Seq	RNA-seq of coding RNA from single cells	Mus musculus	27	2020-03-04	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7895/
E-MTAB-7742	Identification of cell surface markers and establishment of monolayer differentiation protocol for retinal pigment epithelial cells	RNA-seq of coding RNA from single cells	Homo sapiens	7	2020-02-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7742/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7742/
E-MTAB-8832	Single-cell RNA-sequencing of immune cells in (1) mouse Renca model treated with anti-CSF1R and (2) mouse MC38 model treated with anti-CD40	RNA-seq of coding RNA from single cells	Mus musculus	82	2020-02-23	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8832/E-MTAB-8832.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8832/
E-MTAB-8751	snRNA-seq of whole hearts from adult fzt:DU mice	RNA-seq of coding RNA from single cells	Mus musculus	1	2020-02-22	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8751/
E-MTAB-8581	A cell atlas of human thymic development defines T cell repertoire formation	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus	103	2020-02-21	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8581/
E-MTAB-8813	Single-cell transcriptional landscape of human embryonic limb development	RNA-seq of coding RNA from single cells	Homo sapiens	7	2020-02-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8813/
E-MTAB-8077	A single cell transcriptome atlas of murine endothelial cells	RNA-seq of coding RNA from single cells	Mus musculus	88	2020-02-13	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8077/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8077/
E-MTAB-8285	Single-cell RNA-sequencing of OMP-GFP mouse olfactory sensory neurons	RNA-seq of coding RNA from single cells	Mus musculus	34	2020-02-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8285/E-MTAB-8285.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8285/
E-MTAB-8002	Single cell RNA sequencing analysis of mouse resident and infiltrating immune cells during acute kidney injury and fibrosis	RNA-seq of coding RNA from single cells	Mus musculus	92	2020-01-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8002/
E-MTAB-8403	Single cell RNA sequencing of DDX4 antibody positive and negative ovarian tissue cells cultured under oogonial stem cell conditions	RNA-seq of coding RNA from single cells	Homo sapiens	40	2020-01-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8403/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8403/
E-MTAB-8381	Single cell RNA Seq of cortex cells from adult human ovaries	RNA-seq of coding RNA from single cells	Homo sapiens	4	2020-01-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8381/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8381/
E-MTAB-8060	Single cell RNA-seq of in vitro cultured human embryos	RNA-seq of coding RNA from single cells	Homo sapiens	6	2020-01-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8060/
E-MTAB-8559	Single cell RNA-seq from 10X for a living biobank of ovarian cancer ex vivo models reveals profound mitotic heterogeneity	RNA-seq of coding RNA from single cells	Homo sapiens	4	2020-01-23	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8559/
E-MTAB-8640	Single cell RNA-Seq of wild type and caspase inhibitor treated mouse embryos at the stage E6.5	RNA-seq of coding RNA from single cells	Mus musculus	1495	2020-01-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8640/E-MTAB-8640.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8640/
E-MTAB-7249	Single cell RNA-seq of a human ex vivo ovarian model with matched stromal cells	RNA-seq of coding RNA from single cells	Homo sapiens	192	2020-01-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7249/
E-MTAB-8593	Single cell RNA sequencing of murine omental macrophages after inoculation with ovarian cancer cells	RNA-seq of coding RNA from single cells	Mus musculus	4	2020-01-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8593/E-MTAB-8593.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8593/
E-MTAB-8486	SS2_2: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	RNA-seq of coding RNA from single cells	Homo sapiens	768	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8486/
E-MTAB-8484	SS2_1: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	RNA-seq of coding RNA from single cells	Homo sapiens	768	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8484/
E-MTAB-8476	VDJ: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	RNA-seq of coding RNA from single cells	Homo sapiens	16	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8476/
E-MTAB-8474	GEX: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	RNA-seq of coding RNA from single cells	Homo sapiens	32	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8474/
E-MTAB-8007	Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes	RNA-seq of coding RNA from single cells	Homo sapiens	24	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8007/
E-MTAB-7403	Single-cell RNA-seq of the mouse developing heart (pilot study)	RNA-seq of coding RNA from single cells	Mus musculus	160	2020-01-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7403/
E-MTAB-6031	Single-cell RNA-sequencing of Gli1-positive cells from different compartments of the adult mouse epidermis	RNA-seq of coding RNA from single cells	Mus musculus	227	2019-12-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6031/E-MTAB-6031.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6031/
E-MTAB-7552	Single cell RNA-seq of great ape cerebral organoids	RNA-seq of coding RNA from single cells	Homo sapiens, Macaca nemestrina, Pan troglodytes, mixed sample	43	2019-12-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7552/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7552/
E-MTAB-6308	An integrated approach to profile lung tumor endothelial cell heterogeneity across species and models and to identify angiogenic candidates	RNA-seq of coding RNA from single cells	Homo sapiens	114	2019-12-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6308/
E-MTAB-8145	Single-Cell RNA Sequencing Reveals Renal Endothelium Heterogeneity and Metabolic Adaptation to Water Deprivation	RNA-seq of coding RNA from single cells	Mus musculus	65	2019-12-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8145/
E-MTAB-8498	Human dendritic cell subsets in acute skin inflammation	RNA-seq of coding RNA from single cells	Homo sapiens	768	2019-12-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8498/
E-MTAB-7167	Single-cell RNA-seq of dermal fibroblasts derived from healthy human donors	RNA-seq of coding RNA from single cells	Homo sapiens	2391	2019-11-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7167/
E-MTAB-7869	Transcriptional disorganization of fibroblasts is a hallmark of the aging heart	RNA-seq of coding RNA from single cells	Mus musculus	34	2019-11-14	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7869/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7869/
E-MTAB-7353	Single cell RNA-sequencing of polyA tailed RNA from mutant SOD1 and isogenic control human motor neurons	RNA-seq of coding RNA from single cells	Homo sapiens	384	2019-11-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7353/
